"url,","date,","file name,","file size,","number of words,","sentiment score,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphanumeric,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
https://www.bloomberg.com/news/articles/2017-12-08/apple-is-said-to-be-buying-shazam-music-recognition-app-maker,12/8/17,test,1437,189,-1.587301587,0,1.587301587,2.645502646,0,2.645502646,1.058201058,0,1,1156,13,5,1.740740741,5.28042328,131
https://www.bloomberg.com/news/articles/2017-12-08/apple-s-ive-regains-management-of-design-team-after-2-years,12/8/17,test,1409,196,1.020408163,1.530612245,0.510204082,0,0,0,0,0.510204082,0,1101,26,7,1.632653061,4.882653061,110
https://www.bloomberg.com/news/articles/2017-12-08/-uptown-funk-among-hits-acquired-by-kobalt-in-150-million-deal,12/8/17,test,2365,332,-0.602409639,0.602409639,1.204819277,0.301204819,0,0.301204819,0.301204819,0.301204819,0,1876,28,9,1.614457831,5,182
https://www.bloomberg.com/news/articles/2017-12-07/youtube-is-said-to-plan-new-music-subscription-service-for-march,12/7/17,test,2696,399,-0.501253133,0.501253133,1.002506266,0.501253133,0,0.501253133,1.002506266,0.250626566,0,2150,22,6,1.568922306,4.761904762,204
https://www.bloomberg.com/news/articles/2017-12-08/investor-banks-on-googles-facebooks-to-aid-london-office-bets,12/8/17,test,3585,504,0.396825397,2.182539683,1.785714286,1.388888889,0.198412698,0.793650794,0.198412698,0.992063492,0,2860,27,12,1.561507937,4.85515873,276
https://www.bloomberg.com/news/articles/2017-12-08/bitcoin-craze-propels-coinbase-app-to-no-1-in-apple-s-store,12/8/17,test,758,99,-2.02020202,0,2.02020202,2.02020202,0,1.01010101,0,0,0,576,25,7,1.565656566,4.707070707,72
https://www.bloomberg.com/news/articles/2017-12-07/your-evening-briefing,12/7/17,test,3161,485,-3.092783505,1.237113402,4.329896907,1.443298969,1.237113402,0.618556701,0.206185567,1.030927835,1,2532,10,3,1.515463918,4.78556701,302
https://www.bloomberg.com/view/articles/2017-12-07/now-tech-moguls-have-to-work-to-appear-not-evil,12/7/17,test,4545,664,-1.506024096,0.903614458,2.409638554,1.054216867,0.753012048,0.602409639,0.451807229,0.301204819,2,3722,5,2,1.700301205,5.195783133,374
https://www.bloomberg.com/view/articles/2017-12-07/must-reads-of-2017-from-finance-to-extinction,12/7/17,test,5684,811,0.246609125,1.849568434,1.602959309,1.10974106,0,0.369913687,0.493218249,0.369913687,0,4553,21,14,1.659679408,5.029593095,437
https://www.bloomberg.com/news/articles/2017-12-07/carmakers-want-silicon-valley-s-tech-without-its-patent-wars,12/7/17,test,7254,1064,-0.939849624,0.845864662,1.785714286,0.37593985,1.597744361,0.281954887,0.751879699,0.37593985,2,5836,16,5,1.627819549,5.046052632,472
http://www.fool.com/investing/2017/12/08/2-top-stocks-with-facebook-like-returns.aspx?source=isesitlnk0000001&mrr=1.00,12/8/17,test,5294,803,2.366127024,2.739726027,0.373599004,1.369863014,0,0.622665006,1.120797011,0.498132005,0,4103,108,39,1.577833126,4.871731009,326
http://www.fool.com/investing/2017/12/08/tax-reform-takes-a-bite-out-of-biotech-stocks.aspx?source=isesitlnk0000001&mrr=0.50,12/8/17,test,25105,4059,0.17245627,1.33037694,1.15792067,1.2318305,0.2463661,0.78837152,1.08401084,0.4927322,3,19677,125,49,1.484109387,4.544961813,942
http://www.fool.com/investing/2017/12/08/should-you-believe-this-apple-iphone-rumor.aspx?source=isesitlnk0000001&mrr=0.33,12/8/17,test,3204,455,0.43956044,1.098901099,0.659340659,0.879120879,0,0.43956044,1.098901099,0.43956044,0,2496,43,12,1.58021978,4.795604396,238
http://www.fool.com/investing/2017/12/08/apple-incs-upcoming-61-inch-iphone-might-not-suppo.aspx?source=isesitlnk0000001&mrr=0.25,12/8/17,test,3424,518,-0.386100386,1.158301158,1.544401544,1.737451737,0,1.544401544,2.123552124,0.386100386,0,2718,16,11,1.544401544,4.893822394,250
http://www.fool.com/investing/2017/12/08/a-strong-quarter-for-broadcom-thanks-to-the-iphone.aspx?source=isesitlnk0000001&mrr=0.20,12/8/17,test,4115,569,0.702987698,1.58172232,0.878734622,0.527240773,0,0.351493849,0.175746924,0.351493849,1,3116,145,54,1.55887522,4.950790861,222
