"url,","date,","file name,","file size,","number of words,","sentiment score,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphanumeric,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
https://www.bloomberg.com/news/audio/2017-11-20/middle-market-debt-has-ballooned-in-recent-years-kahn-says,11/17/17 0:00,test,630,70,-2.857142857,0,2.857142857,0,0,0,0,0,0,497,16,7,1.728571429,5.228571429,57
https://www.bloomberg.com/news/articles/2017-11-20/truck-stocks-rebound-as-tesla-s-semi-plan-lacks-crucial-details,11/17/17 0:00,test,2584,360,-0.277777778,1.666666667,1.944444444,0.555555556,0.277777778,0.277777778,1.111111111,0.833333333,0,2051,28,10,1.611111111,5.025,216
https://www.bloomberg.com/news/audio/2017-11-20/tesla-will-need-to-raise-2-billion-by-mid-2018-kevin-tynan,11/18/17 0:00,test,228,24,-4.166666667,0,4.166666667,0,0,0,0,0,0,179,5,3,1.583333333,5.083333333,23
https://www.bloomberg.com/view/articles/2017-11-20/bitcoin-viruses-losers-and-saving-the-world,11/20/17 0:00,test,1365,191,1.047120419,1.570680628,0.523560209,0,0,0,1.570680628,0.523560209,0,1043,30,12,1.502617801,4.80104712,156
https://www.bloomberg.com/gadfly/articles/2017-11-20/tesla-s-truck-distraction-charts,11/20/17 0:00,test,1451,222,0.900900901,3.153153153,2.252252252,0.900900901,0,0.900900901,0.45045045,0,0,1153,0,0,1.432432432,4.527027027,152
https://www.bloomberg.com/news/articles/2017-11-20/odd-lots-the-world-s-foremost-expert-explains-how-to-value-stock,11/20/17 0:00,test,824,119,0.840336134,0.840336134,0,1.680672269,0,0.840336134,0.840336134,0,0,654,0,0,1.403361345,4.546218487,84
https://www.bloomberg.com/news/articles/2017-11-20/watch-to-watch-in-commodity-markets-opec-run-up-lithium-bacon,11/20/17 0:00,test,7242,991,-0.605449041,0.908173562,1.513622603,0.908173562,0.201816347,0.706357215,0.302724521,1.109989909,1,5798,35,17,1.608476287,5.033299697,462
https://www.bloomberg.com/news/videos/2017-11-18/loup-s-munster-expects-tesla-truck-to-do-very-well-video,11/20/17 0:00,test,194,25,0,0,0,0,0,0,0,0,0,164,0,0,2.08,6.16,21
https://www.bloomberg.com/news/photo-essays/2017-11-17/elon-musk-s-greatest-hits-in-pictures,11/20/17 0:00,test,1074,166,-0.602409639,2.409638554,3.012048193,0.602409639,0,0,0,0,0,856,1,1,1.487951807,4.704819277,112
https://www.bloomberg.com/news/articles/2017-11-17/your-evening-briefing,11/20/17 0:00,test,2884,431,-2.552204176,0.464037123,3.016241299,0.928074246,0.928074246,0.928074246,0,0.232018561,0,2336,6,3,1.556844548,4.96287703,294
